row,A,B,C,D,G,H,J,K
1,Don't Touch This Sheet!! It makes everything work.,,,,,,,
2,Cabinet Style,Select One,,,Frameless Cabinet SKUs,Frameless Accessory SKUs,Framed Cabinet SKUs,Framed Accessory SKUs
76,LIST PRICE,,"IF('Summary Sheet'!$M$3=""Onyx Black"",2,IF('Summary Sheet'!$M$3=""White Shaker"",4,IF('Summary Sheet'!$M$3=""Espresso Shaker"",6,IF('Summary Sheet'!$M$3=""Signature Blue"",8,IF('Summary Sheet'!$M$3=""Gray Shaker"",10,IF('Summary Sheet'!$M$3=""Uptown White"",12,IF('Summary Sheet'!$M$3=""Modern Slate"",14,IF('Summary Sheet'!$M$3=""Dark Green Slim Shaker"",16,""no""))))))))","IF('Summary Sheet'!$M$3=""Glossy White"",2,IF('Summary Sheet'!$M$3=""Sliced Oak Shaker"",4,IF('Summary Sheet'!$M$3=""Black Walnut"",6,IF('Summary Sheet'!$M$3=""Weathered Oak Shaker"",8,IF('Summary Sheet'!$M$3=""Glossy Grey"",10,IF('Summary Sheet'!$M$3=""Natural Oak"",12,IF('Summary Sheet'!$M$3=""White Oak"",14,IF('Summary Sheet'!$M$3=""Matte White"",16,IF('Summary Sheet'!$M$3=""Matte Grey"",18,IF('Summary Sheet'!$M$3=""Matte Blue"",20,IF('Summary Sheet'!$M$3=""Glossy Black"",22,""no"")))))))))))",PC3084,,W3036,
77,,,,,PC3090,,W3036GD,
78,,,,,PC3096,,W3336,
79,,,,,,,W3636,
80,,,,,MOC3084,,W3636GD,
81,Box Construction,Plywood,P Box,,MOC3090,,W4236,
82,,PB w/ Wood Drawers,B Box,,MOC3096,,W0942,
83,,PB w/ PB Drawers,G Box,,,,W1242,
84,,,,,W0930,,W1542,
85,,,,,W0936,,W1542GD,
86,,,,,W0942,,W1515,
87,,,,,W1230,,W1515GD,
88,Supplier Options,,,,W1236,,W1815,
89,0,Framed,,,W1242,,W1815GD,
90,0.05,0.14626847000000001,,,W1530,,W1842,
91,0.1,Frameless,,,W1536,,W1842GD,
92,0.15,,,,W1542,,W2115,
93,0.2,,,,W1830,,W2115GD,
94,0.25,,,,W1836,,W2142,
95,,,,,W1842,,W2415,
96,,,,,W2130,,W2415GD,
97,,,,,W2136,,W2442,
98,,,,,W2142,,W2715,
99,,,,,W2430,,W2715GD,
100,,,,,W2436,,W2742,
101,,,,,W2442,,W3042,
102,,,,,W2730,,W3042GD,
103,,,,,W2736,,W3342,
104,,,,,W2742,,W3642,
105,,,,,W3030,,W3642GD,
106,,,,,W3036,,W4242,
107,,,,,W3042,,W3012,
108,,,,,W3330,,W3015,
109,,,,,W3336,,W3015GD,
110,,,,,W3342,,W3018,
111,,,,,W3630,,W3021,
112,,,,,W3636,,W3024,
113,,,,,W3642,,W3312,
114,,,,,,,W3315,
115,,,,,WDC2430,,W3315GD,
116,,,,,WDC2436,,W3318,
117,,,,,WDC2442,,W3321,
118,,,,,WDC2730,,W3324,
119,,,,,WDC2736,,W3612,
120,,,,,WDC2742,,W3615,
121,,,,,,,W3615GD,
122,,,,,WER2430,,W3618,
123,,,,,WER2436,,W3621,
124,,,,,WER2442,,W3624,
125,,,,,,,W361224,
126,,,,,WBC2730,,W361524,
127,,,,,WBC2736,,W361824,
128,,,,,WBC2742,,W362124,
129,,,,,WBC3630,,W362424,
130,,,,,WBC3636,,WBC3030,
131,,,,,WBC3642,,WBC3036,
132,,,,,,,WBC3042,
133,,,,,WBF2430,,WDC2415,
134,,,,,WBF2730,,WDC2415GD,
135,,,,,WBF3030,,WDC2430,
136,,,,,WBF3630,,WDC2430GD,
137,,,,,WBF3630,,WDC2436,
138,,,,,,,WDC2436GD,
139,,,,,W3012,,WDC2442,
140,,,,,W3015,,WDC2442GD,
141,,,,,W3018,,WDC273615,
142,,,,,W3021,,WDC273615GD,
143,,,,,W3024,,WDC274215,
144,,,,,W3612,,WDC274215GD,
145,,,,,W3615,,WLS2430,
146,,,,,W3618,,WLS2436,
147,,,,,W3621,,WLS2442,
148,,,,,W3624,,WEC1230,
149,,,,,,,WEC1236,
150,,,,,W301224,,WEC1242,
151,,,,,W301524,,WES930,
152,,,,,W301824,,WES936,
153,,,,,W302124,,WES942,
154,,,,,W302424,,WMC2730,
155,,,,,W361224,,WMC2736,
156,,,,,W361524,,WMC2742,
157,,,,,W361824,,WRC3015,
158,,,,,W362124,,WRC3615,
159,,,,,W362424,,30GR-glass rack,
160,,,,,,,36GR-glass rack,
161,,,,,WSL3012,,VB09,
162,,,,,WSL3015,,VB12,
163,,,,,WSL3018,,VB15,
164,,,,,WSL3021,,VB18,
165,,,,,WSL3612,,VDB12,
166,,,,,WSL3615,,VDB15,
167,,,,,WSL3618,,VDB18,
168,,,,,WSL3621,,VDB21,
169,,,,,,,VDB24,
170,,,,,ROT15,,VSB24,
171,,,,,ROT18,,VSB27,
172,,,,,ROT21,,VSB30,
173,,,,,ROT24,,VSB36,
174,,,,,ROT27,,VSD3021DL,
175,,,,,ROT30,,VSD3021DR,
176,,,,,ROT33,,VSD3621DL,
177,,,,,ROT36,,VSD3621DR,
178,,,,,,,VSD4221,
179,,,,,,,VSD4821D,
180,,,,,Custom Items,,VSD6021D,
181,,,,,,,VSD6021DD,
182,,,,,*SB30 - ADA,,KD24,
183,,,,,*SB33 - ADA,,KD30,
184,,,,,*SB36 - ADA,,KD36,
185,,,,,*SB42 - ADA,,DV1248,
186,,,,,*SB48 - ADA,,SVA188421,
187,,,,,*VSB27 - ADA,,ROT15,
188,,,,,*VSB30 - ADA,,ROT18,
189,,,,,*VSB33 - ADA,,ROT21,
190,,,,,*VSB36 - ADA,,ROT24,
191,,,,,*VSB39 - ADA,,ROT27,
192,,,,,*VSB48 - ADA,,ROT30,
193,,,,,*B24 - ADA,,ROT33,
194,,,,,*B30 - ADA,,ROT36,
195,,,,,*B36 - ADA,,,
196,,,,,*B48 - ADA,,,
198,,,,,*W0942,,,
199,,,,,*W1240,,,
200,,,,,*W1533,,,
201,,,,,*W1540,,,
202,,,,,*W1840,,,
203,,,,,*W2140,,,
204,,,,,*W2418,,,
205,,,,,*W2440,,,
206,,,,,*W2445,,,
207,,,,,*W2718,,,
208,,,,,*W2724,,,
209,,,,,*W2740,,,
210,,,,,*W2745,,,
211,,,,,*W3018,,,
212,,,,,*W3022,,,
213,,,,,*W3340,,,
214,,,,,*W3045,,,
215,,,,,*W3318,,,
216,,,,,*W3321,,,
217,,,,,*W3324,,,
218,,,,,*W3618,,,
219,,,,,*W3627,,,
220,,,,,*W3633,,,
221,,,,,*W3640,,,
222,,,,,*W3936,,,
223,,,,,*W3945,,,
224,,,,,*W4218,,,
225,,,,,*W4230,,,
226,,,,,*W4518,,,
227,,,,,*W4845,,,
228,,,,,*W4836,,,
230,,,,,*W243010,,,
231,,,,,*W271824,,,
232,,,,,*W331224,,,
233,,,,,*W331824,,,
234,,,,,*W332424,,,
235,,,,,*W392424,,,
237,,,,,*VDB09,,,
238,,,,,*VB12,,,
239,,,,,*VB15,,,
240,,,,,*VB18,,,
241,,,,,*VB24,,,
242,,,,,*VB30,,,
243,,,,,*VSB21,,,
244,,,,,*VSB33,,,
245,,,,,*VSB42,,,
246,,,,,*VSB48,,,
247,,,,,*FVSB3323,,,
248,,,,,*FVSB3823,,,
249,,,,,*FVSB4218,,,
250,,,,,*FVSB4618,,,
251,,,,,*FVSB5423,,,
252,,,,,*FVSB6817,,,
